 ,2,56,28938,39645,51017,72285,95525,114013,131937
2,,,,,,,,,,
56,0.03802281368821293,,,,,,,,,
28938,0.034482758620689655,0.026470588235294117,,,,,,,,
39645,0.04044117647058824,0.04778156996587031,0.045845272206303724,,,,,,,
51017,0.054187192118226604,0.03125,0.03214285714285714,0.04721030042918455,,,,,,
72285,0.03557312252964427,0.0364963503649635,0.03939393939393939,0.045936395759717315,0.028037383177570093,,,,,
95525,0.046296296296296294,0.03375527426160337,0.040955631399317405,0.044715447154471545,0.02824858757062147,0.08370044052863436,,,,
114013,0.05472636815920398,0.018018018018018018,0.050359712230215826,0.04329004329004329,0.043209876543209874,0.04245283018867924,0.06857142857142857,,,
131937,0.02252252252252252,0.01646090534979424,0.023411371237458192,0.007936507936507936,0.01639344262295082,0.034334763948497854,0.04591836734693878,0.03867403314917127,,


Max ,0.08370044052863436,72285,95525
AVG ,0.039
Total Coverage ,0.038
