tid, date, Score, E2E, E2D, Title, Url 
2,2016-01-21,0.89445,0.85926,1.00000,Airbus Subsidiary Opens Metal 3D Printing Facility - 3D Printing Industry,http://3dprintingindustry.com/2016/01/20/airbus-subsidiary-opens-metal-3d-printing-operation/?utm_source=twitter&utm_medium=social&utm_campaign=3dpi%2Btwitter
23,2016-01-19,0.69284,0.85274,0.21315,3ders.org - Open source, solar-powered RepRap 3D printer brings 3D printing to developing communities | 3D Printer News & 3D Printing News,http://www.3ders.org/articles/20160118-open-source-solar-powered-reprap-3d-printer-brings-3d-printing-to-developing-communities.html
33,2016-01-16,0.67132,0.84112,0.16195,Why 3D Printing Will Be a Key Technology in the Next Space Race - Singularity HUB,http://singularityhub.com/2016/01/08/why-3d-printing-will-be-a-key-technology-in-the-next-space-race/#.VplHpVq_JDo.twitter
41,2016-01-14,0.59539,0.78338,0.03142,A 3D-Printing Roving Robot Could Repair Potholes | Popular Science,http://www.popsci.com/3d-printing-robot-could-repair-potholes?src=SOC&dom=tw
53,2016-01-13,0.63744,0.83922,0.03210,Sketchfab Adds VR to 3D Model Browsing - 3D Printing Industry,http://3dprintingindustry.com/2016/01/12/sketchfab-adds-vr-to-3d-model-browsing/?utm_source=twitter&utm_medium=social&utm_campaign=3dpi%2Btwitter
280,2016-01-12,0.72717,0.87819,0.27413,What’s the Future for 3D Printing in Manufacturing?,http://www.gilcommunity.com/discussion/whats-future-3d-printing-manufacturing/
675,2016-01-11,0.73123,0.92345,0.15459,Making Money With 3D Printing: The List - Mylocal3DPrinting,https://mylocal3dprinting.com/blog/making-money-with-3d-printing-the-list/
2130,2016-01-10,0.71517,0.90960,0.13190,3D Printing for Business: Improving Your Company - Mylocal3DPrinting,https://mylocal3dprinting.com/blog/3d-printing-business-improving-company/
3991,2016-01-09,0.76805,0.98805,0.10805,The Influence Of Education On The 3D Printing Industry | TechCrunch,http://techcrunch.com/2015/11/14/the-influence-of-education-on-the-3d-printing-industry/
5623,2016-01-08,0.71781,0.92690,0.09052,Processes Archive - Ogle,http://www.oglemodels.com/processes/
6288,2016-01-15,0.63162,0.82957,0.03780,Northwestern's Low-Cost Tech Turns Rust into 3D Printed Iron - 3D Printing Industry,http://3dprintingindustry.com/2016/01/14/64909/?utm_source=twitter&utm_medium=social&utm_campaign=3dpi%2Btwitter
14108,2016-01-07,0.75280,0.96267,0.12319,Unleashing 3D Printing with HP - HP Communities,http://h20435.www2.hp.com/t5/The-Shapes-of-Things-To-Come-The/Unleashing-3D-Printing-with-HP/ba-p/294590#.VoFVZ_krLIU
16765,2016-01-06,0.72250,0.93093,0.09720,3D printing & Rapid Prototyping. Can you see one of THESE in your office?!,http://cadsetterout.com/personal-posts/could-you-imagine-one-of-these-stood-in-the-corner-of-your-office/
19452,2016-01-05,0.71922,0.92784,0.09337,5 Emerging Technology Trends For Manufacturers In 2016 - Manufacturing Talk Radio,http://mfgtalkradio.com/5-emerging-technology-trends-for-manufacturers-in-2016/
23005,2016-01-02,0.72824,0.95041,0.06174,5 signs you should invest in 3D printing technologies,http://blog.luxexcel.com/5-signs-you-should-invest-in-3d-printing?utm_content=23960669&utm_medium=social&utm_source=twitter
24523,2016-01-01,0.70311,0.91533,0.06646,3D printing: The trends that will change the game in 2016 - TechRepublic,http://www.techrepublic.com/article/3d-printing-the-trends-that-will-change-the-game-in-2016/
25441,2015-12-31,0.69765,0.90773,0.06743,The Future of Making Cars: How 3D Printing Will Revolutionize the Auto Industry | 3DPrint.com,http://3dprint.com/111644/3d-printing-revolutionize-auto/?utm_content=24640450&utm_medium=social&utm_source=twitter
30194,2015-12-30,0.71011,0.91831,0.08552,The Birth and Death of Desktop 3D Printing | thechrisfox,http://thechrisfox.com/2015/12/29/the-birth-and-death-of-desktop-3d-printing/
31572,2015-12-29,0.73557,0.95397,0.08036,3D Printers Capable of Making Electronics in the next Decade,http://www.3dtectonix.com/3D-Printers-Capable-of-Making-Electronics
31842,2015-12-28,0.74393,0.97248,0.05827,3D Printing Trends: What can we expect in 2016? - Mylocal3DPrinting,https://mylocal3dprinting.com/blog/3d-printing-trends-what-can-we-expect-in-2016/?platform=hootsuite
34752,2015-12-25,0.67988,0.88484,0.06500,3ders.org - Gartner places 3D printing among the top 10 strategic technology trends for 2016 | 3D Printer News & 3D Printing News,http://www.3ders.org/articles/20151224-gartner-places-3d-printing-among-the-top-ten-strategic-technology-trends-for-2016.html
37104,2015-12-23,0.72157,0.94456,0.05260,2016 Best 3D Printer Guide | 3D Hubs,https://www.3dhubs.com/best-3d-printer-guide
38613,2015-12-22,0.72095,0.93645,0.07445,Trade exhibition - B2BManufactures.com,http://www.manufacturers.com.tw/trades_industryinfo.php?id=7500
45397,2015-12-17,0.71014,0.92702,0.05949,2016 Oil and Gas Industry Predictions - IFS Blog,http://blog.ifsworld.com/2015/12/2016-oil-and-gas-industry-predictions/
51010,2015-12-14,0.73983,0.97325,0.03958,Where will 3D printing be 5 years from now?,http://blog.luxexcel.com/where-will-3d-printing-be-5-years-from-now?utm_content=25406993&utm_medium=social&utm_source=twitter
57041,2015-12-10,0.73538,0.95673,0.07133,Machine vision: rapid growth and 3D printed optics,http://blog.luxexcel.com/machine-vision-rapid-growth-and-3d-printed-optics?utm_content=25202408&utm_medium=social&utm_source=twitter
